Name of Owner,Address,AccountNum,Debt Date Incurred,Basis for Claim,Contigent,Unliquidated,Disputed,offset,Total Claim,Page Number
Name on File,Address on File,on File,3/21/2021,Retail Crypto‐Backed Loan,,,,Y,"$149,466.22",103
Name on File,Address on File,on File,12/16/2020,Retail Crypto‐Backed Loan,,,,Y,"$7,871.96",103
Name on File,Address on File,on File,6/8/2021,BPC Open and/or Term Loan,,,,,$26.14,103
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.09,103
Name on File,Address on File,on File,3/3/2021,Retail Crypto‐Backed Loan,,,,Y,"$30,767.60",103
Name on File,Address on File,on File,3/2/2021,BPC Open and/or Term Loan,,,,,$400.47,103
Name on File,Address on File,on File,3/2/2021,Retail Crypto‐Backed Loan,,,,Y,"$364,822.09",103
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$2.18,103
Name on File,Address on File,on File,2/14/2020,BPC Open and/or Term Loan,,,,,$14.79,103
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.04,103
Name on File,Address on File,on File,12/7/2020,BPC Open and/or Term Loan,,,,,"$6,042,654.16",103
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,"$8,171.53",103
Name on File,Address on File,on File,3/26/2021,Retail Crypto‐Backed Loan,,,,Y,"$70,707.54",103
Name on File,Address on File,on File,8/13/2020,Retail Crypto‐Backed Loan,,,,Y,"$13,004.53",103
Name on File,Address on File,on File,6/20/2021,BPC Open and/or Term Loan,,,,,"$1,032.45",103
Name on File,Address on File,on File,6/20/2021,Retail Crypto‐Backed Loan,,,,Y,"$423,999.93",103
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$3.68,103
Name on File,Address on File,on File,2/13/2021,Retail Crypto‐Backed Loan,,,,Y,"$33,222.92",103
Virginia State Corporation Commission,1300 E. Main Street Richmond VA 23219,0004,08/31/22,Regulatory settlement outstanding payments,,,,,"$566,037.74",103
Name on File,Address on File,on File,4/15/2022,Retail Crypto‐Backed Loan,,,,Y,"$830,553.02",103
Name on File,Address on File,on File,10/6/2020,BPC Open and/or Term Loan,,,,,$7.26,103
Name on File,Address on File,on File,10/6/2020,Retail Crypto‐Backed Loan,,,,Y,"$244,044.83",103
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.02,103
Name on File,Address on File,on File,3/24/2021,BPC Open and/or Term Loan,,,,,"$63,423.89",103
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$120.78,103
Name on File,Address on File,on File,9/8/2021,BPC Open and/or Term Loan,,,,,"$639,274.42",103
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$1.82,103
Name on File,Address on File,on File,1/8/2021,Retail Crypto‐Backed Loan,,,,Y,"$3,059.48",103
Name on File,Address on File,on File,3/18/2021,Retail Crypto‐Backed Loan,,,,Y,$430.77,103
Name on File,Address on File,on File,3/28/2022,Retail Crypto‐Backed Loan,,,,Y,"$87,838.15",103
